Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Datetime,,,,,
2025-11-12 02:34:00+00:00,102945.9140625,102945.9140625,102945.9140625,102945.9140625,0
2025-11-12 02:35:00+00:00,102999.2734375,102999.2734375,102999.2734375,102999.2734375,136900608
2025-11-12 02:36:00+00:00,102989.765625,102989.765625,102989.765625,102989.765625,0
2025-11-12 02:37:00+00:00,102994.921875,102994.921875,102994.921875,102994.921875,0
2025-11-12 02:39:00+00:00,103136.5,103136.5,103136.5,103136.5,709689344
2025-11-12 02:40:00+00:00,103106.875,103106.875,103106.875,103106.875,0
2025-11-12 02:41:00+00:00,103073.3125,103073.3125,103073.3125,103073.3125,92188672
2025-11-12 02:42:00+00:00,103066.2890625,103066.2890625,103066.2890625,103066.2890625,30781440
2025-11-12 02:43:00+00:00,103045.0703125,103045.0703125,103045.0703125,103045.0703125,0
2025-11-12 02:44:00+00:00,102983.796875,102983.796875,102983.796875,102983.796875,0
2025-11-12 02:45:00+00:00,102993.0234375,102993.0234375,102993.0234375,102993.0234375,24723456
2025-11-12 02:46:00+00:00,103053.8671875,103053.8671875,103053.8671875,103053.8671875,0
2025-11-12 02:47:00+00:00,103008.859375,103008.859375,103008.859375,103008.859375,0
2025-11-12 02:48:00+00:00,102971.8984375,102971.8984375,102971.8984375,102971.8984375,0
2025-11-12 02:49:00+00:00,103007.4765625,103007.4765625,103007.4765625,103007.4765625,20725760
2025-11-12 02:50:00+00:00,103028.515625,103028.515625,103028.515625,103028.515625,925696
2025-11-12 02:51:00+00:00,103000.921875,103000.921875,103000.921875,103000.921875,6615040
2025-11-12 02:52:00+00:00,103037.75,103037.75,103037.75,103037.75,0
2025-11-12 02:53:00+00:00,103093.859375,103093.859375,103093.859375,103093.859375,0
2025-11-12 02:54:00+00:00,103147.1171875,103147.1171875,103147.1171875,103147.1171875,11911168
2025-11-12 02:55:00+00:00,103175.28125,103175.28125,103175.28125,103175.28125,564109312
2025-11-12 02:56:00+00:00,103171.3828125,103171.3828125,103171.3828125,103171.3828125,30507008
2025-11-12 02:57:00+00:00,103140.3046875,103140.3046875,103140.3046875,103140.3046875,0
2025-11-12 02:58:00+00:00,103109.390625,103109.390625,103109.390625,103109.390625,154890240
2025-11-12 02:59:00+00:00,103117.40625,103117.40625,103117.40625,103117.40625,2277376
2025-11-12 03:00:00+00:00,103112.3671875,103112.3671875,103112.3671875,103112.3671875,0
2025-11-12 03:01:00+00:00,103084.6953125,103084.6953125,103084.6953125,103084.6953125,0
2025-11-12 03:02:00+00:00,103161.4140625,103161.4140625,103161.4140625,103161.4140625,0
2025-11-12 03:03:00+00:00,103105.3046875,103105.3046875,103105.3046875,103105.3046875,0
2025-11-12 03:04:00+00:00,103133.40625,103133.40625,103133.40625,103133.40625,596578304
2025-11-12 03:05:00+00:00,103217.1484375,103217.1484375,103217.1484375,103217.1484375,37224448
2025-11-12 03:06:00+00:00,103171.8984375,103171.8984375,103171.8984375,103171.8984375,0
2025-11-12 03:07:00+00:00,103178.5390625,103178.5390625,103178.5390625,103178.5390625,0
2025-11-12 03:08:00+00:00,103177.8515625,103177.8515625,103177.8515625,103177.8515625,109346816
2025-11-12 03:09:00+00:00,103181.1640625,103181.1640625,103181.1640625,103181.1640625,0
2025-11-12 03:10:00+00:00,103177.234375,103177.234375,103177.234375,103177.234375,39772160
2025-11-12 03:11:00+00:00,103171.2890625,103171.2890625,103171.2890625,103171.2890625,0
2025-11-12 03:12:00+00:00,103160.3515625,103160.3515625,103160.3515625,103160.3515625,70062080
2025-11-12 03:13:00+00:00,103186.4921875,103186.4921875,103186.4921875,103186.4921875,101355520
2025-11-12 03:14:00+00:00,103191.96875,103191.96875,103191.96875,103191.96875,0
2025-11-12 03:15:00+00:00,103168.0078125,103168.0078125,103168.0078125,103168.0078125,59691008
2025-11-12 03:16:00+00:00,103180.6796875,103180.6796875,103180.6796875,103180.6796875,0
2025-11-12 03:17:00+00:00,103222.1328125,103222.1328125,103222.1328125,103222.1328125,213786624
2025-11-12 03:18:00+00:00,103204.1640625,103204.1640625,103204.1640625,103204.1640625,0
2025-11-12 03:19:00+00:00,103232.3828125,103232.3828125,103232.3828125,103232.3828125,3702784
2025-11-12 03:20:00+00:00,103285.1171875,103285.1171875,103285.1171875,103285.1171875,0
2025-11-12 03:21:00+00:00,103283.6875,103283.6875,103283.6875,103283.6875,94928896
2025-11-12 03:22:00+00:00,103297.4375,103297.4375,103297.4375,103297.4375,0
2025-11-12 03:23:00+00:00,103289.9765625,103289.9765625,103289.9765625,103289.9765625,0
2025-11-12 03:24:00+00:00,103312.6328125,103312.6328125,103312.6328125,103312.6328125,0
2025-11-12 03:25:00+00:00,103335.34375,103335.34375,103335.34375,103335.34375,250449920
2025-11-12 03:26:00+00:00,103322.359375,103322.359375,103322.359375,103322.359375,0
2025-11-12 03:27:00+00:00,103315.796875,103315.796875,103315.796875,103315.796875,72208384
2025-11-12 03:28:00+00:00,103317.59375,103317.59375,103317.59375,103317.59375,40652800
2025-11-12 03:29:00+00:00,103280.4765625,103280.4765625,103280.4765625,103280.4765625,12402688
2025-11-12 03:30:00+00:00,103291.4375,103291.4375,103291.4375,103291.4375,0
2025-11-12 03:31:00+00:00,103291.0078125,103291.0078125,103291.0078125,103291.0078125,0
2025-11-12 03:32:00+00:00,103298.9609375,103298.9609375,103298.9609375,103298.9609375,0
2025-11-12 03:33:00+00:00,103305.765625,103305.765625,103305.765625,103305.765625,212619264
2025-11-12 03:34:00+00:00,103322.734375,103322.734375,103322.734375,103322.734375,0
2025-11-12 03:35:00+00:00,103309.5078125,103309.5078125,103309.5078125,103309.5078125,210333696
2025-11-12 03:36:00+00:00,103300.015625,103300.015625,103300.015625,103300.015625,0
2025-11-12 03:37:00+00:00,103332.2421875,103332.2421875,103332.2421875,103332.2421875,0
2025-11-12 03:38:00+00:00,103301.703125,103301.703125,103301.703125,103301.703125,7884800
2025-11-12 03:39:00+00:00,103297.125,103297.125,103297.125,103297.125,0
2025-11-12 03:40:00+00:00,103309.90625,103309.90625,103309.90625,103309.90625,0
2025-11-12 03:41:00+00:00,103315.1484375,103315.1484375,103315.1484375,103315.1484375,97193984
2025-11-12 03:42:00+00:00,103302.890625,103302.890625,103302.890625,103302.890625,0
2025-11-12 03:43:00+00:00,103301.2421875,103301.2421875,103301.2421875,103301.2421875,20258816
2025-11-12 03:44:00+00:00,103301.796875,103301.796875,103301.796875,103301.796875,0
2025-11-12 03:45:00+00:00,103306.5625,103306.5625,103306.5625,103306.5625,65634304
2025-11-12 03:46:00+00:00,103310.8046875,103310.8046875,103310.8046875,103310.8046875,0
2025-11-12 03:47:00+00:00,103311.1875,103311.1875,103311.1875,103311.1875,0
2025-11-12 03:49:00+00:00,103336.8515625,103336.8515625,103336.8515625,103336.8515625,257736704
2025-11-12 03:50:00+00:00,103362.1875,103362.1875,103362.1875,103362.1875,7680000
2025-11-12 03:51:00+00:00,103398.6484375,103398.6484375,103398.6484375,103398.6484375,0
2025-11-12 03:52:00+00:00,103347.3359375,103347.3359375,103347.3359375,103347.3359375,0
2025-11-12 03:53:00+00:00,103334.0625,103334.0625,103334.0625,103334.0625,0
2025-11-12 03:54:00+00:00,103354.6484375,103354.6484375,103354.6484375,103354.6484375,900100096
2025-11-12 03:55:00+00:00,103366.6171875,103366.6171875,103366.6171875,103366.6171875,0
2025-11-12 03:56:00+00:00,103320.6328125,103320.6328125,103320.6328125,103320.6328125,2666496
2025-11-12 03:57:00+00:00,103313.5234375,103313.5234375,103313.5234375,103313.5234375,22040576
2025-11-12 03:58:00+00:00,103262.203125,103262.203125,103262.203125,103262.203125,0
2025-11-12 03:59:00+00:00,103262.40625,103262.40625,103262.40625,103262.40625,0
2025-11-12 04:00:00+00:00,103260.1875,103260.1875,103260.1875,103260.1875,75083776
2025-11-12 04:01:00+00:00,103270.296875,103270.296875,103270.296875,103270.296875,0
2025-11-12 04:02:00+00:00,103267.8203125,103267.8203125,103267.8203125,103267.8203125,0
2025-11-12 04:03:00+00:00,103222.5390625,103222.5390625,103222.5390625,103222.5390625,0
2025-11-12 04:04:00+00:00,103237.1328125,103237.1328125,103237.1328125,103237.1328125,0
2025-11-12 04:05:00+00:00,103259.3359375,103259.3359375,103259.3359375,103259.3359375,19730432
2025-11-12 04:06:00+00:00,103232.1953125,103232.1953125,103232.1953125,103232.1953125,80519168
2025-11-12 04:07:00+00:00,103213.546875,103213.546875,103213.546875,103213.546875,888832
